lon,lat,course_id,track_seg_point_id,ele,dis
141.34855,38.45359,2,356,-0.7,5.661419023
141.34914,38.45283,2,357,0.2,5.760318884
141.3494399,38.45246,2,358,1,5.809049546
141.34973,38.45209,2,359,1,5.85732832
141.34995,38.4518,2,360,1,5.89483641
141.3502,38.4515,2,361,0.8,5.934670191
141.35072,38.45084,2,362,0,6.020904674
141.35093,38.45059,2,363,0,6.054179163
141.35103,38.45046,2,364,0,6.071054887
141.35121,38.45021,2,365,0.2,6.102968372
141.35139,38.45002,2,366,0.6,6.129275278
141.35148,38.44991,2,367,0.8,6.143802285
141.35173,38.44959,2,368,1.4,6.185516467
141.35182,38.44946,2,369,1.4,6.201959811
141.35201,38.44921,2,370,1.2,6.234310025
141.35217,38.44901,2,371,0.7,6.260553365
141.35292,38.44808,2,372,0.6,6.382863384
141.3531099,38.44786,2,373,1.1,6.412391697
141.35319,38.44776,2,374,1.4,6.42551806
141.35326,38.44768,2,375,1.6,6.436301968
141.35326,38.44768,2,376,1.6,6.436301968
141.35361,38.4476299,2,377,1.4,6.467286769
141.35488,38.44743,2,378,1,6.580096942
141.35522,38.44738,2,379,0.5,6.610223534
141.35556,38.44733,2,380,-0.2,6.640350146
141.35643,38.44719,2,381,-0.4,6.71769761
141.35699,38.44711,2,382,-0.5,6.767270432
141.35767,38.447,2,383,-0.3,6.82773898
141.3578,38.44699,2,384,-0.1,6.839114659
141.36018,38.44662,2,385,0.8,7.050424211
141.36022,38.44661,2,386,0.8,7.054080844
141.36074,38.44654,2,387,0.4,7.100029982
141.3612,38.44647,2,388,0,7.140839074
141.3615,38.44642,2,389,-0.2,7.167550147
141.3615299,38.44642,2,390,-0.2,7.170154045
141.36232,38.44634,2,391,-0.5,7.23953406
141.36277,38.4463,2,392,-0.5,7.278974802
141.36286,38.44629,2,393,-0.5,7.286891117
141.36295,38.44628,2,394,-0.5,7.294807433
141.36324,38.44625,2,395,-0.5,7.320282036
141.3637,38.4462,2,396,0.3,7.360726071
141.36393,38.44618,2,397,0.8,7.380879195
141.3643899,38.4461299,2,398,1.5,7.421316173
141.36481,38.44609,2,399,1.5,7.458169559
141.36488,38.44608,2,400,1.5,7.46436625
141.36576,38.44599,2,401,1.9,7.541653757
141.36585,38.44598,2,402,2,7.549570105
141.36613,38.44595,2,403,3.3,7.574181701
141.3665,38.4459,2,404,4.8,7.606880196
141.36665,38.44588,2,405,5.4,7.620131271
141.36675,38.44586,2,406,5.4,7.629119493
141.36719,38.44578,2,407,5.2,7.668457038
141.36747,38.44571,2,408,5.1,7.694053749
141.36767,38.44567,2,409,4.4,7.712030234
141.36807,38.44559,2,410,3.2,7.747983232
141.36834,38.44553,2,411,2.6,7.772425151
141.36857,38.44548,2,412,1.9,7.793212674
141.36876,38.44544,2,413,1.3,7.810346765
141.36926,38.44532,2,414,-0.2,7.855889404
141.36934,38.4453,2,415,-0.2,7.863202791
141.36943,38.44527,2,416,-0.2,7.871721079
141.3698,38.44518,2,417,-0.4,7.905462034
141.37031,38.44505,2,418,-0.1,7.952170268
141.37067,38.44496,2,419,0.6,7.985080633
141.37106,38.44486,2,420,0.6,8.020819083
141.37115,38.44484,2,421,0.5,8.028966463
141.37151,38.44475,2,422,0.1,8.061876915
141.37196,38.4446299,2,423,1.4,8.103279837
141.3720899,38.4446,2,424,1.8,8.115071139
141.3727199,38.44444,2,425,2.2,8.172749768
141.3728999,38.4444,2,426,1.8,8.189044618
141.37291,38.44439,2,427,1.7,8.19046241
141.37376,38.44418,2,428,1.1,8.268084061
141.37403,38.44411,2,429,1.6,8.292853048
141.37423,38.44405,2,430,2,8.311505025
141.37437,38.44401,2,431,2.1,8.324483531
141.37455,38.44395,2,432,2.4,8.341520368
141.37458,38.44394,2,433,2.5,8.344359843
141.37464,38.44392,2,434,2.6,8.350038792
141.37475,38.44388,2,435,2.8,8.360600858
141.3748699,38.44383,2,436,3.1,8.372430822
141.375,38.44377,2,437,3.5,8.385579583
141.37508,38.44374,2,438,3.6,8.393304211
141.37543,38.44357,2,439,4.2,8.429171409
141.37582,38.44339,2,440,4.9,8.468595309
141.37591,38.44335,2,441,5.4,8.477607497
141.37613,38.44325,2,442,7,8.499760302
141.37643,38.44311,2,443,9.1,8.530173679
141.37645,38.4431,2,444,9.3,8.532240165
141.37663,38.44303,2,445,10.5,8.549742557
141.37674,38.44299,2,446,11.2,8.56030473
141.37695,38.44292,2,447,12.7,8.58018128
141.37705,38.44288,2,448,13.5,8.58996042
141.37717,38.44285,2,449,14.5,8.600930837
